v_pred,v_target,impl_pred,impl_target
19.635864,19.568127,0.0026634862,0.0
5.9172325,5.233527,0.083869755,0.0938
15.36072,15.49248,0.0021086133,0.0
1.3086324,2.0666335,0.00033079114,0.0
10.560966,10.899273,0.31518126,0.375
15.781207,14.858059,0.0020265575,0.0
4.929618,4.711818,0.00017957561,0.0
20.634089,21.22541,0.11115317,0.1198
10.165072,11.093878,0.11140402,0.0938
21.604996,20.934107,0.0026223925,0.0
16.737455,16.94479,0.16348591,0.1875
16.514553,16.685642,0.16781631,0.1875
11.083864,10.899273,0.12745574,0.0938
21.527012,22.247522,0.17839475,0.1875
4.5342455,5.2126617,0.00027326107,0.0
20.036318,18.899366,0.32112604,0.375
22.400677,22.230528,0.67247224,0.75
2.9060159,3.8988302,0.0003722129,0.0
7.852206,6.874832,0.0009344438,0.0
10.346838,11.123761,0.00094906526,0.0
6.8598967,5.233527,0.3194214,0.375
5.3433867,5.449637,0.22925216,0.1875
10.895495,10.899273,0.2187121,0.1875
1.8185152,1.0669123,0.0016348381,0.0
21.688015,22.187752,0.1839109,0.1875
1.6600527,1.0746055,0.00024164602,0.0
16.922815,16.94479,0.002374838,0.0
21.737312,22.247522,0.76221657,0.75
10.617453,10.467054,0.00053219375,0.0
4.8882847,5.1641603,0.1816859,0.1875
17.024279,17.119024,0.3627354,0.3631
10.522795,11.093878,0.11404158,0.0938
8.338827,7.8084135,0.0016454698,0.0
8.408171,9.423636,0.41167554,0.375
10.31184,10.467054,0.2516771,0.1875
0.93939805,1.0876532,0.00042127247,0.0
7.901913,9.449683,0.4092696,0.375
19.696583,18.899366,0.7346991,0.75
16.17893,16.672897,0.0017853541,0.0
3.5581722,3.3348033,0.00036363569,0.0
20.797056,19.40533,0.08812653,0.1198
2.419554,1.6200355,0.0003010799,0.0
6.180197,5.5576324,0.08074135,0.0938
16.708376,16.348911,0.25243598,0.1875
23.646366,20.667086,0.01884846,0.0
20.457628,18.847273,0.18586734,0.1875
5.0730324,5.5759068,0.005403305,0.0
15.587303,14.174525,0.26983294,0.1875
20.781221,20.934107,0.20443837,0.1875
7.1678915,6.265332,0.00092473085,0.0
4.856272,5.124648,0.00057563814,0.0
3.4892206,3.2879646,0.00041118124,0.0
9.756051,10.3283205,0.10960442,0.0938
21.274775,20.850647,0.18739009,0.1875
16.380428,16.348911,0.29949406,0.375
20.836014,21.479465,0.18740056,0.18079999
11.875261,11.270332,0.0015713568,0.0
15.543965,15.700582,0.4007781,0.375
1.8074487,0.9467739,0.0008591603,0.0
16.49173,16.672897,0.1602972,0.1875
16.633108,16.348911,0.19793838,0.1875
4.9290648,5.2126617,0.15829095,0.1875
1.5131338,0.75386393,0.00022987968,0.0
10.03881,8.827527,0.013443429,0.0
10.377773,10.4253235,0.0011516849,0.0
20.943228,20.65664,0.19131184,0.1875
5.340258,5.546939,0.00054226606,0.0
12.334679,11.38444,0.0015222076,0.0
22.308739,22.59305,0.005411885,0.0
5.4491043,5.5618815,0.21673995,0.1875
20.778904,20.65664,0.1960414,0.1875
4.906172,4.711818,0.07455574,0.0938
20.67321,20.934107,0.22724104,0.1875
1.8287842,0.98871225,0.0011175517,0.0
5.276984,4.881008,0.006616287,0.0
6.0231204,5.546939,0.0007472115,0.0
6.308085,5.5618815,0.08215695,0.0938
16.93699,16.94479,0.003045443,0.0
5.0971303,5.2126617,0.00021144358,0.0
10.261607,11.123761,0.39190602,0.375
7.748535,8.12313,0.0007689846,0.0
10.203007,11.115265,0.39319235,0.375
9.8051405,9.423636,0.00040727295,0.0
1.9942716,1.3966944,0.00026220054,0.0
2.3086925,1.5960522,0.0003105166,0.0
19.752811,19.180462,0.0017217915,0.0
8.132896,7.539602,0.0010924147,0.0
