Date,Open,High,Low,Close,Adj Close,Volume,,log return
2013-10-02,157.690002,159.580002,157.520004,158.669998,143.02562,2431000,,-0.000902275
2013-10-03,158.630005,159.160004,155.460007,156.850006,141.385086,2949500,,-0.005010239
2013-10-04,157.080002,157.25,156.089996,156.550003,141.114655,2984500,,-0.000831482
2013-10-07,155.169998,156.199997,154.220001,154.25,139.041443,2618000,,-0.006427852
2013-10-08,154.619995,155.850006,153,153.050003,137.959763,2917200,,-0.003391827
2013-10-09,153.559998,155.320007,152.830002,154.440002,139.212677,3227500,,0.003926345
2013-10-10,156.830002,158.240005,156,158.009995,142.430695,3639000,,0.009924809
2013-10-11,158.490005,160.490005,157.520004,160,144.224457,3124900,,0.005435319
2013-10-14,158.220001,159.919998,157.5,159.460007,143.737762,2428100,,-0.001468034
2013-10-15,159.809998,160.039993,157.509995,157.630005,142.088196,3038000,,-0.005012878
2013-10-16,158.580002,162.5,157.5,162.25,146.252625,3649300,,0.012545669
2013-10-17,156.479996,159.199997,155.990005,158.320007,142.710144,7522100,,-0.010648825
2013-10-18,158.839996,159.699997,156.679993,158.690002,143.04364,4982100,,0.001013709
2013-10-21,158.669998,160.649994,158.25,159.770004,144.017181,2695400,,0.002945753
2013-10-22,160.639999,160.710007,158.229996,159.25,143.548431,3239400,,-0.001415856
2013-10-23,158.020004,158.080002,156.559998,157.740005,142.187317,2735800,,-0.004137591
2013-10-24,159.449997,160.350006,158.830002,159.960007,144.188431,2591000,,0.006069557
2013-10-25,160,162.240005,159.910004,162.089996,146.108444,3721000,,0.0057449
2013-10-28,162,162.190002,160.25,161.449997,145.53154,3341500,,-0.001718191
2013-10-29,162.070007,163.110001,161.009995,162.110001,146.126465,3702100,,0.001771753
2013-10-30,162.559998,162.970001,161.149994,162.050003,146.072372,2344200,,-0.000160797
2013-10-31,162.089996,163.350006,160.860001,160.860001,144.999725,2785000,,-0.003200903
2013-11-01,161.029999,162.600006,160.720001,162.050003,146.072372,2738400,,0.003200903
2013-11-04,162.419998,163.240005,161.589996,163.160004,147.072922,1711000,,0.002964639
2013-11-05,161.669998,162.630005,160.779999,161.949997,145.982224,2529400,,-0.003232745
2013-11-06,162.529999,164.300003,162.330002,163.520004,147.39743,3593700,,0.004189936
2013-11-07,164.039993,164.210007,159.610001,159.639999,143.900024,3490300,,-0.010429045
2013-11-08,160.389999,163.690002,159.880005,163.169998,147.08194,3856000,,0.009498483
2013-11-11,162.5,164.75,162.160004,163.839996,147.685883,2289000,,0.001779634
2013-11-12,163.100006,164.380005,162.130005,162.889999,146.829514,2239600,,-0.002525623
2013-11-13,161.779999,163.710007,161.199997,162.940002,146.874619,3398300,,0.000133392
2013-11-14,163.550003,163.949997,162.410004,163.199997,147.109009,3648200,,0.000692517
2013-11-15,163.179993,165.419998,163.179993,164.399994,148.190674,2667200,,0.003181603
2013-11-18,164.740005,167.649994,164.199997,165.679993,149.344482,3555000,,0.003368308
2013-11-19,165.869995,168,165.630005,166.600006,150.173737,2691900,,0.002404807
2013-11-20,166.759995,167.25,164.860001,165,148.731537,2793100,,-0.004190922
2013-11-21,165.25,167.320007,165.009995,167.070007,150.597427,3158500,,0.005414486
2013-11-22,166.770004,168.240005,165.529999,168.100006,151.525833,2680500,,0.002669128
2013-11-25,168.5,170.5,168.5,169.479996,152.76976,3101700,,0.003550716
2013-11-26,169.360001,170.690002,168,168.039993,151.471786,2953400,,-0.00370565
2013-11-27,168.050003,168.809998,166.869995,168.220001,152.131943,2285300,,0.001888666
2013-11-29,167.889999,170.380005,167.690002,168.940002,152.783142,2018700,,0.001855025
2013-12-02,169.880005,171.580002,168.679993,169.720001,153.48848,3121100,,0.002000348
2013-12-03,169.089996,170.759995,167.910004,168.050003,151.978241,3288200,,-0.004294372
2013-12-04,167.309998,169.929993,167.309998,168.699997,152.566071,2328200,,0.001676548
2013-12-05,167.410004,167.960007,165.350006,165.559998,149.726303,3564100,,-0.008159861
2013-12-06,167.580002,167.960007,164.770004,167.210007,151.218597,2708500,,0.004307103
2013-12-09,168,169.130005,166.839996,167.669998,151.634598,2589500,,0.0011931
2013-12-10,167.869995,172.199997,167.520004,169.729996,153.497559,4235400,,0.005303169
2013-12-11,169.509995,169.830002,167.130005,167.600006,151.571274,2977100,,-0.005484572
2013-12-12,166.589996,168.960007,166.520004,168.330002,152.231415,2911900,,0.001887383
2013-12-13,168.589996,169.289993,167.600006,168.389999,152.285721,2490600,,0.0001549
2013-12-16,169.309998,171.490005,169.089996,170.949997,154.600876,2980000,,0.006552767
2013-12-17,171.270004,171.270004,169.710007,170.490005,154.184906,2856700,,-0.00117009
2013-12-18,171,174.919998,169.990005,174.839996,158.118851,4509600,,0.010941789
2013-12-19,174.610001,175.800003,174,174.770004,158.055496,3094400,,-0.000174048
2013-12-20,174.660004,175.789993,173.75,175.160004,158.408249,3754300,,0.000968191
2013-12-23,175.880005,176.690002,175.5,176.470001,159.592911,1585300,,0.003235803
2013-12-24,176.669998,176.679993,175.440002,176.160004,159.312607,781300,,-0.000763452
2013-12-26,176.600006,176.759995,175.179993,176.449997,159.574875,1320100,,0.000714368
2013-12-27,176.389999,176.449997,175.570007,176.350006,159.484451,1716900,,-0.000246165
2013-12-30,176.5,177.119995,175.259995,175.729996,158.923676,1241000,,-0.001529746
2013-12-31,176.220001,177.440002,176.220001,177.259995,160.307419,1663900,,0.00376502
2014-01-02,176.949997,178.380005,176.360001,176.889999,159.972794,1982100,,-0.000907492
2014-01-03,176.350006,178.850006,176.220001,178.149994,161.112289,2147400,,0.003082538
2014-01-06,179.149994,181.130005,178.880005,179.369995,162.215607,2954000,,0.002963968
2014-01-07,180.729996,180.979996,177.520004,178.289993,161.238861,2734700,,-0.002622914
2014-01-08,178.5,178.899994,177.259995,178.440002,161.374527,2208600,,0.000365261
2014-01-09,179.080002,179.080002,176.610001,177.399994,160.434021,2149500,,-0.002538514
2014-01-10,177.399994,178.710007,177,178.389999,161.329346,2506500,,0.002416905
2014-01-13,178.300003,178.300003,175.690002,175.880005,159.059402,2823800,,-0.006154028
2014-01-14,176.259995,177.5,175.710007,176.600006,159.710526,2208800,,0.001774195
2014-01-15,177,179.740005,177,178.75,161.654922,3540200,,0.005255392
2014-01-16,178.75,178.789993,174.5,175.169998,158.417282,4712200,,-0.008786375
2014-01-17,175.009995,177.279999,174.5,176.279999,159.421158,3451000,,0.002743402
2014-01-21,175.100006,175.589996,171.339996,173.199997,156.635696,5141200,,-0.007655218
2014-01-22,173.449997,174.639999,172.779999,173.679993,157.069778,2476900,,0.001201889
2014-01-23,172.419998,172.419998,169.020004,170.75,154.419998,3977700,,-0.007389087
2014-01-24,168.529999,169.960007,167.220001,167.639999,151.607391,4156200,,-0.007983168
2014-01-27,167.080002,167.600006,163.429993,164.690002,148.93956,5589600,,-0.007710308
2014-01-28,165.029999,166.550003,164.589996,166.25,150.350388,3170400,,0.004094487
2014-01-29,163.970001,166.100006,163.619995,163.899994,148.225082,3473700,,-0.006182854
2014-01-30,165.330002,166.169998,164.570007,165.839996,149.979599,2829400,,0.005110489
2014-01-31,163.800003,165.979996,163.300003,164.119995,148.424088,3415500,,-0.004527799
2014-02-03,165.149994,165.520004,159.770004,159.820007,144.535339,5079700,,-0.011530344
2014-02-04,160.899994,162.570007,159.850006,161.759995,146.289764,3346600,,0.005239894
2014-02-05,160.589996,162.649994,160.320007,160.419998,145.077927,3212900,,-0.003612598
2014-02-06,161.160004,162,160.100006,161.75,146.280716,3798000,,0.003585736
2014-02-07,162.779999,162.899994,160.270004,161.929993,146.443542,4879900,,0.000483147
2014-02-10,161.020004,161.770004,160.279999,161,145.602448,4321700,,-0.002501548
2014-02-11,161.210007,164.960007,160.309998,164.389999,148.668274,4996300,,0.009049623
2014-02-12,164.5,165.229996,163.229996,163.5,147.863373,3046600,,-0.00235769
2014-02-13,162.550003,164.399994,162.100006,164.059998,148.369827,3119600,,0.001484981
2014-02-14,163.330002,164.5,162.929993,163.720001,148.062332,3287900,,-0.000901005
2014-02-18,164.039993,165.589996,163.720001,164.649994,148.903397,3399900,,0.00246002
2014-02-19,163.910004,166.179993,162.979996,163.259995,147.646317,3669700,,-0.003681988
2014-02-20,163.490005,164.970001,162.669998,164.5,148.7677,2631900,,0.003286031
2014-02-21,164.300003,165.649994,164.149994,164.5,148.7677,2594500,,0
